iter,elapsed_s,best_obj,curr_obj,alpha,selected_orders,gap_abs,gap_pct
132,0.492,26353,25633,0.35,87,826,3.039
133,0.492,26353,24625,0.5,87,826,3.039
134,0.492,26353,24349,0.2,88,826,3.039
135,0.497,26353,25036,0.05,87,826,3.039
136,0.498,26353,25198,0.2,88,826,3.039
137,0.501,26353,25009,0.5,88,826,3.039
138,0.501,26353,25840,0.5,87,826,3.039
139,0.503,26353,25393,0.1,88,826,3.039
140,0.505,26353,25767,0.1,88,826,3.039
141,0.505,26353,25610,0.5,87,826,3.039
142,0.505,26353,25105,0.35,88,826,3.039
143,0.505,26353,24386,0.1,88,826,3.039
144,0.505,26353,26030,0.35,88,826,3.039
145,0.505,26353,25703,0.5,88,826,3.039
146,0.513,26353,25281,0.35,88,826,3.039
147,0.515,26353,25787,0.2,88,826,3.039
148,0.517,26353,25339,0.35,88,826,3.039
149,0.517,26353,25083,0.1,88,826,3.039
150,0.517,26489,26489,0.05,88,690,2.539
151,0.517,26489,25022,0.05,88,690,2.539
152,0.517,26489,26117,0.5,88,690,2.539
153,0.517,26489,24767,0.35,87,690,2.539
154,0.517,26489,25070,0.1,88,690,2.539
155,0.517,26489,25401,0.1,88,690,2.539
156,0.53,26489,24677,0.1,88,690,2.539
157,0.532,26489,25273,0.5,88,690,2.539
158,0.532,26489,24464,0.2,87,690,2.539
159,0.532,26489,25054,0.5,88,690,2.539
160,0.532,26489,26343,0.35,88,690,2.539
161,0.532,26489,24557,0.2,88,690,2.539
162,0.532,26489,25764,0.2,88,690,2.539
163,0.54,26489,25563,0.5,87,690,2.539
164,0.54,26489,26418,0.05,88,690,2.539
165,0.54,26489,24387,0.5,88,690,2.539
166,0.54,26489,24807,0.5,87,690,2.539
167,0.54,26489,24876,0.35,87,690,2.539
168,0.547,26489,24744,0.2,88,690,2.539
169,0.548,26489,24381,0.2,88,690,2.539
170,0.548,26489,24580,0.2,87,690,2.539
171,0.55,26489,25550,0.05,88,690,2.539
172,0.55,26489,24789,0.1,87,690,2.539
