iter,elapsed_s,best_obj,gap_abs,gap_pct,p_alpha_0.05,p_alpha_0.1,p_alpha_0.2,p_alpha_0.35,p_alpha_0.5
78,0.405,26353,826,3.039,0.199457,0.20011,0.197959,0.199544,0.20293
79,0.407,26353,826,3.039,0.199389,0.200127,0.197976,0.199561,0.202947
80,0.407,26353,826,3.039,0.199415,0.20012,0.197969,0.199555,0.202941
81,0.407,26353,826,3.039,0.199467,0.200172,0.198021,0.199606,0.202735
82,0.407,26353,826,3.039,0.199444,0.200177,0.198026,0.199612,0.20274
83,0.407,26353,826,3.039,0.199451,0.200184,0.197999,0.199618,0.202747
84,0.407,26353,826,3.039,0.199484,0.200217,0.198032,0.199652,0.202615
85,0.414,26353,826,3.039,0.199378,0.200244,0.198058,0.199678,0.202642
86,0.416,26353,826,3.039,0.199389,0.200255,0.19807,0.199632,0.202654
87,0.416,26353,826,3.039,0.199323,0.200521,0.198004,0.199566,0.202586
88,0.42,26353,826,3.039,0.199299,0.200615,0.197981,0.199542,0.202563
89,0.421,26353,826,3.039,0.199348,0.200663,0.198029,0.199591,0.20237
90,0.421,26353,826,3.039,0.199398,0.200651,0.198016,0.199578,0.202357
91,0.421,26353,826,3.039,0.199417,0.200573,0.198035,0.199597,0.202377
92,0.421,26353,826,3.039,0.199378,0.200583,0.198045,0.199607,0.202387
93,0.431,26353,826,3.039,0.199371,0.200576,0.198038,0.199635,0.202379
94,0.432,26353,826,3.039,0.199361,0.200579,0.198041,0.199638,0.202382
95,0.433,26353,826,3.039,0.199324,0.200542,0.19819,0.1996,0.202344
96,0.434,26353,826,3.039,0.199344,0.200562,0.19821,0.19952,0.202365
97,0.436,26353,826,3.039,0.199257,0.200474,0.198124,0.199869,0.202277
98,0.436,26353,826,3.039,0.199308,0.200526,0.198175,0.19992,0.202071
99,0.442,26353,826,3.039,0.199347,0.200368,0.198214,0.19996,0.202111
100,0.442,26353,826,3.039,0.19937,0.20039,0.198236,0.199869,0.202134
101,0.447,26353,826,3.039,0.199359,0.200379,0.198226,0.199858,0.202178
102,0.449,26353,826,3.039,0.199362,0.200369,0.198228,0.199861,0.20218
